2069.4556093226242
3.2666101766840794
This is Ipopt version 3.12.3, running with linear solver mumps.
NOTE: Other linear solvers might be more efficient (see Ipopt documentation).

Number of nonzeros in equality constraint Jacobian...:   672254
Number of nonzeros in inequality constraint Jacobian.:    68250
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:    74504
                     variables with only lower bounds:        0
                variables with lower and upper bounds:    74504
                     variables with only upper bounds:        0
Total number of equality constraints.................:    69504
Total number of inequality constraints...............:    28650
        inequality constraints with only lower bounds:    13800
   inequality constraints with lower and upper bounds:     1050
        inequality constraints with only upper bounds:    13800

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 165 4.7874382e+003 2.39e-003 2.77e-001  -5.8 5.77e-003   0.4 1.00e+000 9.69e-001h  1
 166 4.7852706e+003 3.33e-003 1.93e-001  -6.5 1.51e-002  -0.1 1.00e+000 3.23e-001h  1
 167 4.7817437e+003 7.73e-003 2.56e-001  -7.2 3.91e-002  -0.6 1.00e+000 1.72e-001h  1
 168 4.7794771e+003 7.52e-003 2.57e-001  -6.2 1.59e-002  -0.2 1.00e+000 2.92e-001h  1
 169 4.7779605e+003 4.46e-003 1.48e-001  -5.8 6.46e-003   0.3 1.00e+000 5.33e-001h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 170 4.7769563e+003 6.18e-004 3.59e-002  -6.4 2.41e-003   0.7 1.00e+000 9.54e-001h  1
 171 4.7763010e+003 6.67e-004 4.46e-002  -7.1 7.16e-003   0.2 1.00e+000 2.10e-001h  1
 172 4.7591304e+003 3.63e-002 9.44e-001  -8.0 4.00e+002    -  1.02e-003 9.75e-004f  1
 173 4.7519831e+003 3.89e-002 7.67e-001  -5.4 5.79e+002    -  2.89e-003 3.42e-004f  1
 174 4.7348837e+003 3.90e-002 1.07e+000  -5.2 4.38e+002    -  9.99e-003 1.20e-003f  1
 175 4.7328020e+003 1.74e-002 5.47e-001  -5.7 7.21e-003   0.1 1.00e+000 5.54e-001h  1
 176 4.7110808e+003 4.53e-002 9.14e-001  -4.7 1.26e+002    -  4.94e-003 5.64e-003f  1
 177 4.7088164e+003 1.98e-002 6.24e-001  -5.7 1.12e-002   0.1 1.00e+000 5.64e-001h  1
 178 4.6879427e+003 4.60e-002 9.46e-001 -11.0 1.63e+002    -  1.64e-002 4.02e-003f  1
